Razao Social,CNPJ,Residuos,Custos
Indústria X LTDA,CNPJ: 98765432000123,Residuos KG: 500.00,Custos R$: 2000.00
Fábrica ABC LTDA,CNPJ: 12345678000199,Residuos KG: 1500.00,Custos R$: 5000.00
Indústrias XYZ Ltda,CNPJ: 22233344000155,Residuos KG: 1200.00,Custos R$: 3500.00
Indústria Alfa Ltda,CNPJ: 44455566000111,Residuos KG: 300.00,Custos R$: 1800.00
Mega Indústrias,CNPJ: 55566677000188,Residuos KG: 800.00,Custos R$: 2500.00
EcoSolutions Ltda,CNPJ: 77788899000122,Residuos KG: 600.00,Custos R$: 1200.00
Tecnologia Beta,CNPJ: 44433322000133,Residuos KG: 0.00,Custos R$: 1000.00
Indústria Gamma Ltda,CNPJ: 88899900000111,Residuos KG: 400.00,Custos R$: 300.00
Indústria Omega Ltda,CNPJ: 55667788900199,Residuos KG: 220.00,Custos R$: 600.00
Soluções Verdes Ltda,CNPJ: 11223344556677,Residuos KG: 1200.00,Custos R$: 2200.00
Fábrica Solare,CNPJ: 22334455667788,Residuos KG: 950.00,Custos R$: 1400.00
Indústrias Lúmina,CNPJ: 44556677889900,Residuos KG: 210.00,Custos R$: 350.00
Indústria Nova LTDA,CNPJ: 12398765400019,Residuos KG: 350.00,Custos R$: 700.00
EcoIndústria LTDA,CNPJ: 78654321000111,Residuos KG: 1500.00,Custos R$: 1800.00
Indústria Omega LTDA,CNPJ: 85296374100088,Residuos KG: 750.00,Custos R$: 400.00
Fábrica Sky,CNPJ: 74125896300033,Residuos KG: 950.00,Custos R$: 2000.00
Indústria Delta LTDA,CNPJ: 56382940100022,Residuos KG: 500.00,Custos R$: 1600.00
Fábrica Solar,CNPJ: 49562318900055,Residuos KG: 1200.00,Custos R$: 3000.00
Indústria Verde LTDA,CNPJ: 39847564000144,Residuos KG: 600.00,Custos R$: 2500.00
EcoFábrica Ltda,CNPJ: 91238475000133,Residuos KG: 700.00,Custos R$: 1800.00
Fábrica da Luz,CNPJ: 84726359100077,Residuos KG: 850.00,Custos R$: 1300.00
Indústrias Elite LTDA,CNPJ: 76354182000111,Residuos KG: 900.00,Custos R$: 400.00
Indústria Aurora,CNPJ: 34783929200066,Residuos KG: 1000.00,Custos R$: 900.00
Fábrica Maré,CNPJ: 28756483900077,Residuos KG: 500.00,Custos R$: 1200.00
Indústria Zenith,CNPJ: 58291374600088,Residuos KG: 1300.00,Custos R$: 2500.00
Indústria Solaris,CNPJ: 24918456300099,Residuos KG: 800.00,Custos R$: 1400.00
Indústria X LTDA,CNPJ: 98765432000123,Residuos KG: 500.00,Custos R$: 2000.00
Fábrica ABC LTDA,CNPJ: 12345678000199,Residuos KG: 1500.00,Custos R$: 5000.00
Indústrias XYZ Ltda,CNPJ: 22233344000155,Residuos KG: 1200.00,Custos R$: 3500.00
Indústria Alfa Ltda,CNPJ: 44455566000111,Residuos KG: 300.00,Custos R$: 1800.00
Mega Indústrias,CNPJ: 55566677000188,Residuos KG: 800.00,Custos R$: 2500.00
EcoSolutions Ltda,CNPJ: 77788899000122,Residuos KG: 600.00,Custos R$: 1200.00
Tecnologia Beta,CNPJ: 44433322000133,Residuos KG: 0.00,Custos R$: 1000.00
Indústria Gamma Ltda,CNPJ: 88899900000111,Residuos KG: 400.00,Custos R$: 300.00
Indústria Omega Ltda,CNPJ: 55667788900199,Residuos KG: 220.00,Custos R$: 600.00
Soluções Verdes Ltda,CNPJ: 11223344556677,Residuos KG: 1200.00,Custos R$: 2200.00
Fábrica Solare,CNPJ: 22334455667788,Residuos KG: 950.00,Custos R$: 1400.00
Indústrias Lúmina,CNPJ: 44556677889900,Residuos KG: 210.00,Custos R$: 350.00
Indústria Nova LTDA,CNPJ: 12398765400019,Residuos KG: 350.00,Custos R$: 700.00
EcoIndústria LTDA,CNPJ: 78654321000111,Residuos KG: 1500.00,Custos R$: 1800.00
Indústria Omega LTDA,CNPJ: 85296374100088,Residuos KG: 750.00,Custos R$: 400.00
Fábrica Sky,CNPJ: 74125896300033,Residuos KG: 950.00,Custos R$: 2000.00
Indústria Delta LTDA,CNPJ: 56382940100022,Residuos KG: 500.00,Custos R$: 1600.00
Fábrica Solar,CNPJ: 49562318900055,Residuos KG: 1200.00,Custos R$: 3000.00
Indústria Verde LTDA,CNPJ: 39847564000144,Residuos KG: 600.00,Custos R$: 2500.00
EcoFábrica Ltda,CNPJ: 91238475000133,Residuos KG: 700.00,Custos R$: 1800.00
Fábrica da Luz,CNPJ: 84726359100077,Residuos KG: 850.00,Custos R$: 1300.00
Indústrias Elite LTDA,CNPJ: 76354182000111,Residuos KG: 900.00,Custos R$: 400.00
Indústria Aurora,CNPJ: 34783929200066,Residuos KG: 1000.00,Custos R$: 900.00
Fábrica Maré,CNPJ: 28756483900077,Residuos KG: 500.00,Custos R$: 1200.00
Indústria Zenith,CNPJ: 58291374600088,Residuos KG: 1300.00,Custos R$: 2500.00
Indústria Solaris,CNPJ: 24918456300099,Residuos KG: 800.00,Custos R$: 1400.00
Indústria X LTDA,CNPJ: 98765432000123,Residuos KG: 500.00,Custos R$: 2000.00
Fábrica ABC LTDA,CNPJ: 12345678000199,Residuos KG: 1500.00,Custos R$: 5000.00
Indústrias XYZ Ltda,CNPJ: 22233344000155,Residuos KG: 1200.00,Custos R$: 3500.00
Indústria Alfa Ltda,CNPJ: 44455566000111,Residuos KG: 300.00,Custos R$: 1800.00
Mega Indústrias,CNPJ: 55566677000188,Residuos KG: 800.00,Custos R$: 2500.00
EcoSolutions Ltda,CNPJ: 77788899000122,Residuos KG: 600.00,Custos R$: 1200.00
Tecnologia Beta,CNPJ: 44433322000133,Residuos KG: 0.00,Custos R$: 1000.00
Indústria Gamma Ltda,CNPJ: 88899900000111,Residuos KG: 400.00,Custos R$: 300.00
Indústria Omega Ltda,CNPJ: 55667788900199,Residuos KG: 220.00,Custos R$: 600.00
Soluções Verdes Ltda,CNPJ: 11223344556677,Residuos KG: 1200.00,Custos R$: 2200.00
